Zip,Median,Pop
4049,56924,3355
4050,58429,200
4051,45086,983
4055,52824,3200
4056,51227,209
4057,42420,63
4061,60288,2665
4062,57302,14901
4063,31529,399
4064,40589,8455
4066,66055,691
4068,40694,1442
4069,65117,1435
4071,63873,4729
4072,42759,12787
4073,43224,16015
4074,77285,16813
4076,51227,2322
4079,63939,4065
4083,44589,4713
4084,70905,7754
4085,55429,1530
4086,63864,9097
4087,60288,1710
4088,45086,1417
4090,63243,9397
4091,52059,759
4092,46303,16124
4093,55999,7451
4095,51217,1129
4096,77652,8357
4097,70858,3268
4101,28472,17296
4102,50475,16875
4103,55954,29092
4105,88841,10276
4106,51529,23437
4107,81192,9083
4108,58429,843
4109,58429,82
4110,85168,1210
4210,42117,23191
4217,38631,2854
4219,43994,1469
4220,45756,2584
4221,41350,1220
4222,74952,3378
4224,41466,2960
4227,41401,81
4228,32677,15
4231,44549,260
4234,31406,136
4236,56719,4078
4237,39861,251
4238,48258,1054
4239,40208,4980
4240,37562,35686
4250,42531,4037
4252,45635,5045
4253,41833,2106
4254,32677,3213
4255,44549,783
4256,57461,3154
4257,33194,2959
4258,57465,2250
4259,50327,2969
4260,65117,4816
4263,51429,2002
4265,50461,861
4267,45086,29
4268,38853,4613
4270,43171,5520
4271,37342,53
4274,56585,4854
4275,33194,504
4276,31579,6472
4280,51911,5803
4281,37342,4737
4282,61949,4972
4284,54239,1078
4285,41923,417
4286,39861,33
4287,63192,2843
4289,41071,1731
4290,40750,1510
4292,40750,858
4294,31670,4074
4330,32081,19887
4342,43799,1624
4343,58066,42
4344,51168,2794
4345,50261,11505
4346,49682,1910
4347,59500,2451
4349,54204,1056
4350,61100,3081
4351,61472,2464
4352,51583,1521
4354,50893,1221
4355,62935,2354
4357,55917,3284
4358,53673,4052
4359,55217,210
4360,51583,517
4363,44747,2206
4364,58066,6167
4401,44997,41557
4406,28902,717
4408,44615,178
4410,42664,1186
4411,45369,1243
4412,49913,8982
4413,31898,195
4414,34718,1186
4415,33696,293
4416,49035,5447
4417,37226,365
4418,41148,1660
4419,48530,2415
4421,47431,1342
4422,47250,1399
4424,32989,836
4426,41447,4698
4427,47250,2491
4428,49503,2795
4429,53791,4216
4430,34041,1841
4431,46143,52
4434,48852,1012
4435,41490,996
4438,44347,1040
4441,40821,1798
4442,40809,82
4443,30331,2492
4444,80066,7727
4448,32758,1516
4449,42664,1343
4450,57280,1190
4451,28899,311
4453,39225,816
4454,31898,96
4455,37226,846
4456,52302,2171
4457,32548,6061
4459,26576,918
4460,41401,1565
4461,45369,2949
4462,35908,5559
4463,31016,2868
4464,29724,690
4468,34495,9658
4469,27663,2011
4471,36306,556
4472,46143,2076
4473,37175,7103
4474,68135,3526
4475,42045,509
4476,47431,1341
4478,33194,296
4479,31206,1270
4481,31005,563
4485,29708,183
4487,25492,881
4488,48852,980
4489,41458,201
4490,31898,254
4491,31898,147
4492,31898,173
4493,44092,1907
4495,37226,420
4496,50596,3603
4497,34942,452
4530,45563,11539
4535,55809,676
4537,51374,1875
4538,46250,2226
4539,52873,1014
4541,52873,92
4543,47692,2048
4544,51390,760
4547,47727,1204
4548,55645,1019
4551,52873,782
4553,55809,1742
4554,52873,745
4555,47692,1607
4556,55809,1089
4558,52873,265
4562,53617,2102
4563,47727,1342
4564,52873,534
4568,52019,509
4570,46250,3
4571,51390,329
4572,42201,4915
4573,52019,387
4574,50409,1328
4575,46250,105
4576,46250,681
4578,43799,4350
4579,55645,2811
4605,49144,11211
4606,37604,1214
4607,44532,1220
4609,64057,4800
4611,37332,618
4612,39300,590
4613,44531,202
4614,47008,2281
4616,44434,842
4617,44434,799
4619,31215,3445
4622,33452,1295
4623,37570,1046
4624,44531,331
4625,35438,54
4626,30978,623
4627,40000,1487
4628,35614,707
4629,47008,110
4630,39058,1314
4631,30600,1638
4634,43550,1754
4635,39300,38
4637,31898,191
4640,48344,1970
4642,44434,105
4643,37604,919
4644,64057,9
4645,46141,79
4646,35438,75
4648,37332,579
4649,37332,1407
4650,40000,268
4652,31038,2011
4653,39300,533
4654,34699,3525
4655,39083,1160
4657,37015,330
4658,33186,1277
4660,54464,1261
4662,54464,514
4664,43253,1187
4666,37015,1201
4667,31185,1489
4668,38441,1721
4669,44531,200
4671,31185,528
4673,44434,93
4674,39300,404
4675,54464,321
4676,44446,1015
4677,43250,289
4679,35476,1969
4680,33186,1127
4681,40000,1151
4683,40000,116
4684,47008,1358
4685,39300,328
4686,31898,116
4691,37015,403
4693,44531,984
4694,44525,2582
4730,33192,10045
4732,35849,1863
4733,36063,253
4734,36605,863
4735,34755,618
4736,40233,10145
4739,34183,1040
4740,34944,1249
4741,34119,4
4742,34944,3582
4743,38732,4803
4745,41148,1219
4746,30475,521
4747,37230,1282
4750,32583,2675
4756,34302,3688
4757,47621,2823
4758,36736,1477
4760,34755,788
4761,36284,529
4762,36667,622
4763,36284,717
4764,34755,56
4765,33419,1407
4766,35676,434
4768,35852,395
4769,36799,9501
4772,40971,836
4773,34324,848
4774,34119,857
4776,37129,1056
4777,33375,430
4779,36667,362
4780,36684,795
4781,34119,582
4783,36667,476
4785,31293,3028
4786,35676,1877
4787,36736,559
4841,30461,7607
4843,44251,5256
4847,50409,1310
4848,48538,600
4849,48538,3373
4851,46141,51
4852,52873,75
4853,46141,380
4854,48707,1601
4855,39777,331
4856,69554,3206
4858,48707,1373
4859,40295,724
4860,39777,1573
4861,51006,3732
4862,50409,3496
4863,46141,1231
4864,51006,3793
4901,41373,25900
4910,51488,1946
4911,36555,2135
4912,33848,873
4915,39499,8468
4917,56379,2528
4918,56379,448
4920,32343,1808
4921,38687,1505
4922,35360,1142
4923,41800,506
4924,43807,2026
4925,33194,110
4926,53673,55
4927,34338,3340
4928,36417,2144
4929,36984,778
4930,37600,4275
4932,47500,1065
4933,35104,7
4936,37237,234
4937,46685,6477
4938,38553,9200
4939,41490,986
4940,37989,115
4941,42859,1646
4942,33171,1324
4943,32136,1827
4944,46685,42
4945,3738,119
4949,37682,927
4950,35270,4523
4951,38687,888
4952,37682,1595
4953,35113,3007
4955,40305,1262
4956,42431,725
4957,42009,4135
4958,34788,1905
4961,35321,1031
4962,50389,141
4963,47082,6929
4964,45369,155
4965,36984,1940
4966,42237,1664
4967,40015,4252
4969,47500,1254
4970,47160,1391
4971,41800,1831
4973,37682,1174
4974,44347,2628
4975,46685,55
4976,32826,10020
4978,42838,734
4979,31340,964
4981,44347,2134
4982,37237,660
4983,31691,1257
4984,42959,529
4985,33194,90
4986,36570,1485
4987,35360,971
4988,35623,1906
4989,50389,3905
4992,37792,84
5001,50513,9123
5031,56378,218
5032,47983,2664
5033,46075,2744
5034,61010,310
5035,58256,638
5036,50640,1037
5037,58256,560
5038,49363,1230
5039,48125,1110
5040,47602,471
5041,49226,354
5042,48983,605
5043,69667,937
5045,57135,1758
5046,49402,1139
5048,62212,2429
5050,61786,146
5051,48009,1549
5052,62212,348
5053,56378,332
5055,86458,3363
5056,58256,567
5058,64997,346
5059,52356,874
5060,49700,4415
5061,49230,1679
5062,58256,702
5065,56378,1064
5067,56378,258
5068,40141,3125
5069,48772,555
5070,49363,484
5071,72355,324
5072,49363,526
5075,68061,1113
5076,48125,412
5077,49363,1215
5079,49363,730
5081,48009,550
5083,53668,151
5084,53068,140
5086,49442,793
5089,48659,4979
5091,72113,3288
5101,37968,4643
5141,50602,112
5142,48274,680
5143,45893,4343
5146,49816,750
5148,50715,1140
5149,46105,2092
5150,39984,831
5151,59811,1553
5152,60370,448
5153,48274,687
5154,52404,661
5155,49285,828
5156,41948,9226
5158,50617,1049
5161,44840,552
5201,42005,14851
5250,48886,3408
5251,66367,1350
5252,52375,274
5253,66266,685
5254,56793,273
5255,56809,4121
5257,50151,2718
5260,51434,459
5261,51434,2738
5262,57352,2547
5301,44422,16820
5340,60370,763
5341,52589,407
5342,51123,581
5343,45185,917
5345,60935,2119
5346,52798,5184
5350,52375,763
5352,52375,824
5353,49816,1072
5354,58968,2210
5355,41836,813
5356,52589,717
5358,40000,148
5359,49199,594
5360,41849,251
5361,55761,947
5362,64643,127
5363,52039,2021
5401,38543,28185
5403,72279,17593
5404,42911,7240
5405,54637,4406
5408,57785,10114
5439,53438,1734
5440,51475,1998
5441,54231,958
5442,48831,339
5443,54791,6656
5444,65586,1714
5445,92431,3754
5446,63458,15373
5447,48517,79
5448,60979,1134
5450,49027,4977
5452,72871,19710
5454,69359,4447
5455,54231,1080
5456,63438,1277
5457,50268,1617
5458,64727,2044
5459,50273,2156
5461,71881,4542
5462,65450,1938
5463,51475,471
5464,62244,3008
5465,87127,5355
5468,66199,12942
5471,37812,896
5472,65164,1643
5473,65521,1413
5474,51475,803
5476,39921,3183
5477,75916,4397
5478,55763,14449
5482,84405,7198
5483,50733,1303
5485,50273,93
5486,64727,1654
5487,68025,1498
5488,53652,7690
5489,82263,3174
5491,59347,5909
5492,48831,682
5494,82210,1767
5495,72348,9341
5602,54524,11916
5640,58393,161
5641,50043,17169
5647,53706,1141
5648,58393,423
5649,57955,574
5650,58393,1123
5651,61402,1546
5652,48831,776
5653,48831,547
5654,57658,970
5655,54813,2868
5656,28409,3508
5657,48689,56
5658,54137,1402
5660,64531,1660
5661,55474,5620
5663,56102,6773
5664,55961,80
